                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.93759,                0.68988,                 1.3762,                0.74107,                0.66316,                0.69203,                 0.4639,                 1.6724,                 1.5196,                 1.9846,              0.0015525,              0.0015525,              0.0015525
                    115,                0.96769,                0.67849,                 1.4321,                0.69296,                0.68898,                0.68701,                0.46232,                 1.6699,                 1.4688,                 1.9995,              0.0015486,              0.0015486,              0.0015486
                    116,                 0.9459,                0.66224,                 1.3831,                0.72192,                0.69474,                0.71641,                0.50322,                 1.6407,                 1.3224,                 1.9667,              0.0015446,              0.0015446,              0.0015446
                    117,                0.91006,                0.65749,                 1.3837,                 0.8006,                0.67368,                0.75778,                0.52121,                 1.6164,                 1.2512,                 1.9707,              0.0015406,              0.0015406,              0.0015406
                    118,                 0.8849,                0.61222,                 1.3269,                0.75519,                0.68191,                0.76179,                0.53035,                 1.6158,                 1.2952,                 1.9912,              0.0015367,              0.0015367,              0.0015367
                    119,                 0.9232,                0.69428,                 1.3856,                0.83488,                0.66316,                0.78146,                0.55502,                 1.5678,                 1.3746,                 1.9717,              0.0015327,              0.0015327,              0.0015327
                    120,                0.90059,                0.59361,                 1.3809,                0.81143,                0.67947,                0.78656,                 0.5638,                 1.5652,                 1.1802,                 1.9803,              0.0015288,              0.0015288,              0.0015288
                    121,                0.95141,                0.68018,                 1.3452,                0.76082,                0.77895,                 0.7771,                0.53483,                 1.5991,                 1.0822,                 2.0491,              0.0015248,              0.0015248,              0.0015248
                    122,                0.88141,                0.57287,                 1.3059,                0.77007,                0.78947,                0.75647,                0.51907,                 1.5977,                 1.1053,                 2.0875,              0.0015208,              0.0015208,              0.0015208
                    123,                0.78909,                0.59558,                 1.2497,                0.78448,                0.76842,                0.75986,                0.55053,                 1.5826,                 1.1054,                 2.1138,              0.0015169,              0.0015169,              0.0015169
                    124,                0.89518,                0.59551,                 1.3426,                0.78574,                0.77208,                0.77146,                 0.5703,                 1.5703,                 1.1001,                 2.0771,              0.0015129,              0.0015129,              0.0015129
                    125,                0.90131,                0.65157,                 1.3805,                0.79649,                0.77895,                0.78732,                0.57481,                 1.5737,                 1.0973,                 2.0744,               0.001509,               0.001509,               0.001509
                    126,                0.80362,                 0.5766,                 1.2533,                0.79151,                 0.7593,                0.78396,                0.56568,                 1.6023,                 1.0981,                 2.0752,               0.001505,               0.001505,               0.001505
                    127,                 0.7798,                0.52216,                 1.2672,                0.78941,                0.78918,                0.77881,                0.57854,                 1.5714,                 1.1569,                 2.0352,               0.001501,               0.001501,               0.001501
                    128,                0.77899,                0.54515,                 1.2549,                0.79714,                0.76842,                0.77916,                0.56949,                 1.5825,                 1.1539,                 2.0255,              0.0014971,              0.0014971,              0.0014971
                    129,                0.77253,                0.61941,                  1.256,                 0.7569,                0.75383,                0.76344,                 0.5609,                 1.5725,                 1.2745,                 2.0173,              0.0014931,              0.0014931,              0.0014931
                    130,                0.82508,                0.55917,                 1.2854,                0.62297,                0.68421,                 0.7012,                0.51155,                 1.5991,                 1.4429,                 2.0179,              0.0014892,              0.0014892,              0.0014892
                    131,                 0.8875,                0.59597,                 1.3416,                0.66232,                0.69474,                0.70253,                0.50572,                 1.6333,                 1.2642,                 2.1055,              0.0014852,              0.0014852,              0.0014852
                    132,                0.81029,                0.55307,                 1.2784,                0.77907,                 0.7795,                0.77948,                0.54657,                 1.6558,                 1.0157,                 2.2767,              0.0014812,              0.0014812,              0.0014812
                    133,                0.84895,                0.61016,                 1.2906,                 0.7913,                0.79823,                0.80045,                0.55728,                 1.6669,                 0.9966,                 2.2931,              0.0014773,              0.0014773,              0.0014773
                    134,                0.79262,                0.54739,                 1.2551,                   0.79,                0.83158,                0.81473,                0.54829,                 1.6656,                 1.0088,                 2.2243,              0.0014733,              0.0014733,              0.0014733
                    135,                0.80616,                0.55719,                 1.2848,                0.74741,                0.77867,                0.77263,                0.51521,                 1.6723,                 1.0684,                 2.1716,              0.0014694,              0.0014694,              0.0014694
                    136,                0.79636,                0.53786,                 1.2758,                0.57741,                0.67368,                0.62156,                0.44326,                 1.6429,                  1.416,                 2.0618,              0.0014654,              0.0014654,              0.0014654
                    137,                0.77554,                0.53164,                 1.2386,                0.52987,                0.68812,                0.59039,                0.41799,                  1.646,                  1.576,                 2.0795,              0.0014614,              0.0014614,              0.0014614
                    138,                0.83007,                0.55359,                 1.2902,                0.68031,                0.71683,                0.69231,                0.48414,                 1.6773,                 1.3113,                 2.2202,              0.0014575,              0.0014575,              0.0014575
                    139,                0.82818,                0.55963,                 1.2996,                0.74173,                0.76842,                0.73702,                 0.5445,                 1.6588,                 1.0832,                 2.3232,              0.0014535,              0.0014535,              0.0014535
                    140,                0.79706,                0.52819,                 1.2675,                0.76644,                0.75998,                0.76598,                0.55663,                 1.6287,                 1.0228,                 2.2788,              0.0014496,              0.0014496,              0.0014496
                    141,                0.83681,                0.55192,                 1.2809,                0.75024,                0.77895,                0.72999,                0.52466,                 1.6086,                 1.0127,                 2.1871,              0.0014456,              0.0014456,              0.0014456
